Feature ID	Taxon	Consensus
006df5d12667ab19d5ebbf6f0a786297	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Sagenista_X;MAST-7;MAST-7B;MAST-7B_sp.;	1.0
006f5664d25385baa7bc38462247b4eb	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Paraphysomonadales;Paraphysomonadales_Clade-EC1Ga;Paraphysomonadales_Clade-EC1Ga_X;Paraphysomonadales_Clade-EC1Ga_X_sp.;	1.0
007322d9b4f6b28ffd65df27f957582d	Unassigned	1.0
008155818da4b5aa9192d67302b47ff9	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;	1.0
008406b81a8a43a4a0991ee1927d04bd	Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_1;Acantharea_1_X;Acantharea_1_XX;Acantharea_1_XX_sp.;	1.0
00842c3130a1b42471f9c1c25bdee698	Eukaryota;Amoebozoa;Discosea;Discosea_X;Flabellinia;Vannellida;Vannellidae;Vannella;Vannella_sp.;	1.0
0087650a4f45629909376932e1743c69	Eukaryota;TSAR;Rhizaria;Cercozoa	1.0
008783681cef7d91238d312d6cb89eca	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;	1.0
0088712d8a1e77ca0d11bc428fc73e64	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-2;Dino-Group-I-Clade-2_X;Dino-Group-I-Clade-2_X_sp.;	0.9
0088e2f9cac91b8eab80f72f7be613b0	Unassigned	1.0
008a0832bc663c8ec72711d166b60b7e	Eukaryota;TSAR;Stramenopiles;Gyrista;Developea;Developea_X;Developea_XX	0.833
0090723b706b48148969dc942aa358ac	Eukaryota;TSAR;Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X;Plagiopylea_XX;Plagiopylea_XXX;Plagiopylea_XXX_sp.;	1.0
009124ce9e5d2d9a7492d210b65375f7	Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_1;Acantharea_1_X;Acantharea_1_XX;Acantharea_1_XX_sp.;	1.0
0091673b5ed75f67c62ead331c93425f	Eukaryota;TSAR;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;Discotrichidae;NASSO_1;NASSO_1_sp.;	1.0
